"Customweb_Subscription::%s %s cycle","%s %s ciclo"
"Customweb_Subscription::Attrib. Set Name","Attrib. Set Name"
"Customweb_Subscription::Author","Author"
"Customweb_Subscription::Authorization Amount","Importe de autorisación"
"Customweb_Subscription::Authorization Failed","Autorisación fallada"
"Customweb_Subscription::Authorization Method","Método de autorización"
"Customweb_Subscription::Authorize next cycle","Autorizar próximo ciclo"
"Customweb_Subscription::Authorized","Autorizado"
"Customweb_Subscription::Authorized Status","Authorized Status"
"Customweb_Subscription::Awaiting confirmation","Awaiting confirmation"
"Customweb_Subscription::BIC","BIC"
"Customweb_Subscription::Back","De vuelta"
"Customweb_Subscription::Back to Subscriptions","Volver a las suscripciones"
"Customweb_Subscription::Bad signature format.","Bad signature format."
"Customweb_Subscription::Bank Location","Banco Ubicación"
"Customweb_Subscription::Bank Name","Nombre del banco"
"Customweb_Subscription::Bank account number","Número de cuenta bancaria"
"Customweb_Subscription::Bank code number","Código bancario"
"Customweb_Subscription::Bill to Name","Enviar factura a nombre"
"Customweb_Subscription::Billing Address","Dirección de facturación"
"Customweb_Subscription::Billing Amount","Importe de facturación"
"Customweb_Subscription::Billing Frequency","Frecuencia de facturación"
"Customweb_Subscription::Billing Information","Información de facturación"
"Customweb_Subscription::Billing Period","Período de facturación"
"Customweb_Subscription::Billing Period Unit","Unidad período de facturación"
"Customweb_Subscription::Billing address","Billing address"
"Customweb_Subscription::Brand Name","Brand Name"
"Customweb_Subscription::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_Subscription::CVC Code","CVC código"
"Customweb_Subscription::Calculate Price","Calculate Price"
"Customweb_Subscription::Calculated Price","Precio calculado"
"Customweb_Subscription::Can Customer Suspend","¿Puede el cliente Suspender la suscripción?"
"Customweb_Subscription::Cancel","Cancelar"
"Customweb_Subscription::Cancel ID","Cancel ID"
"Customweb_Subscription::Cancel Subscription","Cancelar suscripción"
"Customweb_Subscription::Cancel status","Cancelar Estado"
"Customweb_Subscription::Cancelation Email Template","Cancelation Email Template"
"Customweb_Subscription::Cancelation Request Email Template","Cancelation Request Email Template"
"Customweb_Subscription::Cancelation Requested","Cancelación solicitada"
"Customweb_Subscription::Cancelation Requested At","Cancelación solicitada en"
"Customweb_Subscription::Canceled","Cancelado"
"Customweb_Subscription::Cancelled Status","Cancelled Status"
"Customweb_Subscription::Cannot apply the subscription plan.","No se puede aplicar el plan de suscripción."
"Customweb_Subscription::Cannot get the subscription instance.","No se puede llegar a la instancia de suscripción."
"Customweb_Subscription::Capture","Contabilizar"
"Customweb_Subscription::Capture Amount","Capture Amount"
"Customweb_Subscription::Capture ID","Capture ID"
"Customweb_Subscription::Capture amount","Cantidad de captura"
"Customweb_Subscription::Capture status","El estado de captura"
"Customweb_Subscription::Captured","Contabilizado"
"Customweb_Subscription::Captured Amount","Importe reembolsado"
"Customweb_Subscription::Captured Status","Captured Status"
"Customweb_Subscription::Capturing","Capturing"
"Customweb_Subscription::Card Expiration","Fecha de vencimiento de la tarjeta"
"Customweb_Subscription::Card Holder Name","Titular de tarjeta"
"Customweb_Subscription::Card Number","Número de tarjeta"
"Customweb_Subscription::Cart Subscriptions","Cart Subscriptions"
"Customweb_Subscription::Change","Cambio"
"Customweb_Subscription::Change Subscription","Cambiar suscripción"
"Customweb_Subscription::Change status","Cambiar el estado"
"Customweb_Subscription::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_Subscription::Checkout Settings","Checkout Settings"
"Customweb_Subscription::Choose settlement after order in case you want an invoice to be created with your oder.","Choose settlement after order in case you want an invoice to be created with your oder."
"Customweb_Subscription::Choose settlement after order in case you want an invoice to be created with your order.","Choose settlement after order in case you want an invoice to be created with your order."
"Customweb_Subscription::Company Commercial Number","Compañía Número Comercial"
"Customweb_Subscription::Could not convert object of type '!type' to string.","No se pudo convertir el objeto de tipo '!type' a string."
"Customweb_Subscription::Could not find a brand for the given card number.","No se pudo encontrar una marca para el número de la tarjeta dada."
"Customweb_Subscription::Could not find template file at default location '!location'.","No se pudo encontrar el archivo de plantilla en la ubicación predeterminada '!location'."
"Customweb_Subscription::Could not find the payment method !paymentMethodName.","No se pudo encontrar la forma de pago !paymentMethodName."
"Customweb_Subscription::Could not load layout from URL !url. Reason: !reason","No se pudo cargar el diseño de URL !url. Motivo: !reason"
"Customweb_Subscription::Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Customweb_Subscription::Credit Card Brands","Credit Card Brands"
"Customweb_Subscription::Currency","Moneda"
"Customweb_Subscription::Customer Name","Nombre del cliente"
"Customweb_Subscription::Customer name","Customer name"
"Customweb_Subscription::Customer sucessfully returned from the ____ModuleCamel____ payment page.","Customer sucessfully returned from the ____ModuleCamel____ payment page."
"Customweb_Subscription::Date","Fecha"
"Customweb_Subscription::Date of Birth","Fecha de nacimiento"
"Customweb_Subscription::Day","Día"
"Customweb_Subscription::Days Before Due Date","Días antes de la fecha debida"
"Customweb_Subscription::Deactivate","Deactivate"
"Customweb_Subscription::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_Subscription::Deferred (authorization)","Deferred (authorization)"
"Customweb_Subscription::Define a fee or a discount (negative value) that is added to or subtracted from the initial payment.","Definir una comisión o un descuento (valor negativo) que se suma o se resta del pago inicial."
"Customweb_Subscription::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_Subscription::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_Subscription::Define if a customer can purchase a subscription as guest.","Define if a customer can purchase a subscription as guest."
"Customweb_Subscription::Define the amount of time relative to the due date after which the invoice has to be paid. This is the period for customers to pay orders that use a payment method that does not support creation of token or in the case of invoice payments. It is also the period for the merchant in case of deferred capturing to capture the payment. Otherwise the payments will fail.","En primer lugar, defina dentro de la cual un fracasado o no es automáticamente renovable pago por parte del cliente debe ser pagado. Si durante este tiempo para hacer cualquier pago, cancelamos la suscripción."
"Customweb_Subscription::Define the order of the plans in the dropdown.","Especifique la secuencia de los planes de la lista desplegable."
"Customweb_Subscription::Define the sort order of the cart plans in the dropdown.","Definir el orden de clasificación de los planes de la compra en la lista desplegable."
"Customweb_Subscription::Delete","Borrar"
"Customweb_Subscription::Describe the schedule and subscription. The value of this field is used for configurable product options.","Describir el calendario y suscripción. Esta descripción se utilizará para las opciones de productos configurables."
"Customweb_Subscription::Describe the subscription and schedule. The value of this field is used for configurable product options.","Describir la suscripción y el horario. El valor de este campo se utiliza para las opciones de productos configurables."
"Customweb_Subscription::Describe the subscription cart plan. This value is used on the cart page in the subscription cart plan dropdown and to describe the subscription.","Describir el plan de suscripción de la compra. Este valor se utiliza en la página de la cesta en el plan de suscripción carrito desplegable y describir la suscripción."
"Customweb_Subscription::Describe the subscription plan. This value is used on the cart page in the subscription plan dropdown and to describe the subscription.","Describa el plan de suscripción. Esta descripción se utiliza en la página del carro en el plan de suscripción desplegable."
"Customweb_Subscription::Description","Descripción"
"Customweb_Subscription::Diners Club","Diners Club"
"Customweb_Subscription::Direct Debits","Direct Debits"
"Customweb_Subscription::Direct E-Banking","Direct E-Banking"
"Customweb_Subscription::Directly after order (sale)","Directly after order (sale)"
"Customweb_Subscription::Discount Amount","Importe ded descuento"
"Customweb_Subscription::Do you really want to cancel this subscription?","¿Realmente desea cancelar esta suscripción?"
"Customweb_Subscription::Do you really want to suspend this subscription?","¿Realmente desea suspender esta suscripción?"
"Customweb_Subscription::Don't change order status","Don't change order status"
"Customweb_Subscription::Edit","Editar"
"Customweb_Subscription::Email Sender","Email Sender"
"Customweb_Subscription::Email Settings","Email Settings"
"Customweb_Subscription::Email Template","Plantilla de correo electrónico"
"Customweb_Subscription::Enable Agreement","Enable Agreement"
"Customweb_Subscription::Enable Cart Subscriptions","Enable Cart Subscriptions"
"Customweb_Subscription::Enable Subscription","Enable Subscription"
"Customweb_Subscription::Enable Test Mode","Enable Test Mode"
"Customweb_Subscription::Enable the payment method","Enable the payment method"
"Customweb_Subscription::Enabled","Enabled"
"Customweb_Subscription::Enter a Starting Date (Format: yyyy-mm-dd) to simulate the recurring orders. If the test cron is activated the recurring orders will be simulated starting from the day entered above.","Enter a Starting Date (Format: yyyy-mm-dd) to simulate the recurring orders. If the test cron is activated the recurring orders will be simulated starting from the day entered above."
"Customweb_Subscription::Enter the date on which your card expires.","Introduzca la fecha en la que expira su tarjeta."
"Customweb_Subscription::Enter the number of days this payment attempt should take place before the actual due date of the subscription.","Introduzca el número de días antes de la fecha de vencimiento de esta suscripción. El pago se intento tendrá lugar el día especificado."
"Customweb_Subscription::Enter when this reminder email should be sent before the actual due date of the subscription. This has to be a number.","Intro cuando este recordatorio por correo electrónico debe ser enviado antes de la fecha de vencimiento real de la suscripción. Esto tiene que ser un número."
"Customweb_Subscription::Equals initial order","Igual pedido inicial"
"Customweb_Subscription::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_Subscription::Excl. Tax","Excl. impuesto"
"Customweb_Subscription::Expired","Expirado"
"Customweb_Subscription::External Checkout","External Checkout"
"Customweb_Subscription::Failed","Fallado"
"Customweb_Subscription::Failed to delete the subscriptions.","No se pudo eliminar las suscripciones."
"Customweb_Subscription::Failed to update the subscription.","Error al actualizar la suscripción."
"Customweb_Subscription::Failed to update the subscriptions.","Error al actualizar las suscripciones."
"Customweb_Subscription::Failure Email Template","Failure Email Template"
"Customweb_Subscription::Figure !number:","Figure !number:"
"Customweb_Subscription::Fixed Shipping","Gastos de envío fijos"
"Customweb_Subscription::G.T. (Base)","Total completo (base)"
"Customweb_Subscription::G.T. (Purchased)","Total completo (comprado)"
"Customweb_Subscription::General Settings","General Settings"
"Customweb_Subscription::Guest Order Email Template","Guest Order Email Template"
"Customweb_Subscription::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_Subscription::Hour","hora"
"Customweb_Subscription::IBAN","IBAN"
"Customweb_Subscription::IBAN number","número IBAN"
"Customweb_Subscription::ID","ID"
"Customweb_Subscription::If enabled, the customer has to agree to the subscription in the checkout review. In order for this to work, you have to enable Terms and Conditions in the Checkout config tab.","If enabled, the customer has to agree to the subscription in the checkout review. In order for this to work, you have to enable Terms and Conditions in the Checkout config tab."
"Customweb_Subscription::If it is not applicable leave the field empty.","Si no es aplicable deje el campo vacío."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Si el estado es ""pendiente"" no está claro si la transacción se cancelará con éxito."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Si el estado es ""pendiente"" no está claro si la transacción será capturado con éxito."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Si el estado es ""pendiente"" no está claro si la transacción será devuelto con éxito."
"Customweb_Subscription::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_Subscription::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_Subscription::Image Brand Selection","Image Brand Selection"
"Customweb_Subscription::In Stock","En stock"
"Customweb_Subscription::In case you selected a fixed shipping type, enter the shipping costs above.","En caso de que haya seleccionado 'gastos de envío fijos', por favor introduzca la cantidad arriba."
"Customweb_Subscription::Inactive","Inactive"
"Customweb_Subscription::Incl. Tax","Incl. impuesto"
"Customweb_Subscription::Information","Information"
"Customweb_Subscription::Initial Discount","Descuento inicial"
"Customweb_Subscription::Initial Fee","Cargo inicial"
"Customweb_Subscription::Initial Fee/Discount","Tarifa/Descuento inicial"
"Customweb_Subscription::Initial Subscription Discount","Descuento de la primera emisión"
"Customweb_Subscription::Initial Subscription Fee","Comisión de Suscripción Inicial"
"Customweb_Subscription::Invalid parent block for this block.","Parent block no válido para este block."
"Customweb_Subscription::Invoice Settlement","Invoice Settlement"
"Customweb_Subscription::Invoice settlement","Invoice settlement"
"Customweb_Subscription::Is the customer allowed to suspend the subscription?","¿Está el cliente permitió suspender la suscripción?"
"Customweb_Subscription::Issue Number","Número de emisión"
"Customweb_Subscription::Item","Artículo"
"Customweb_Subscription::JCB","JCB"
"Customweb_Subscription::Last Billed","Última anunciado"
"Customweb_Subscription::Live HMAC Key","Live HMAC Key"
"Customweb_Subscription::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_Subscription::Live Mode","Live Mode"
"Customweb_Subscription::Live Password","Live Password"
"Customweb_Subscription::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_Subscription::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_Subscription::MasterCard","MasterCard"
"Customweb_Subscription::Maximum Billing Cycles","Número máximo de ciclos de facturación"
"Customweb_Subscription::Maximum Order Total","Maximum Order Total"
"Customweb_Subscription::Minimum Order Total","Minimum Order Total"
"Customweb_Subscription::Minute","minuto"
"Customweb_Subscription::Month","Mes"
"Customweb_Subscription::My Subscriptions","My Subscriptions"
"Customweb_Subscription::Name","Nombre"
"Customweb_Subscription::Name in %s","Nombre en %s"
"Customweb_Subscription::Never","Nunca"
"Customweb_Subscription::New Order Status","New Order Status"
"Customweb_Subscription::Next Cycle","Siguiente ciclo"
"Customweb_Subscription::Next Due Date","Fecha de vencimiento siguiente"
"Customweb_Subscription::Next Update Execution Date","Next Update Execution Date"
"Customweb_Subscription::No","No"
"Customweb_Subscription::No Invoice Settlement","No facturación"
"Customweb_Subscription::No authorization method found for payment method !method.","Ningún método de autorización encontrado para el pago al !method."
"Customweb_Subscription::No information available.","No hay información disponible."
"Customweb_Subscription::No reminders are configured.","No hay avisos están configurados."
"Customweb_Subscription::No, use the dropdown.","No, use the dropdown."
"Customweb_Subscription::None","Nada"
"Customweb_Subscription::Not all products are available in the requested quantity.","No todos los productos están disponibles en la cantidad solicitada."
"Customweb_Subscription::Not initialized","No inicializado"
"Customweb_Subscription::Notify Low Stock RSS","Notifique a LOW Stock RSS"
"Customweb_Subscription::Number of billing periods that make up one billing cycle.","Número de períodos de facturación que conforman un ciclo de facturación."
"Customweb_Subscription::One or more errors occured when processing scheduled jobs.","Uno o más producido errores al procesar los trabajos programados."
"Customweb_Subscription::Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Customweb_Subscription::Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Customweb_Subscription::Only authorized transaction can be cancelled.","Sólo las transacciones autorizadas se pueden cancelar."
"Customweb_Subscription::Only authorized transaction can be captured.","Sólo las transacciones autorizadas pueden ser contabilizadas"
"Customweb_Subscription::Only authorized transaction can be refunded.","Sólo las transacciones autorizadas pueden ser reembolsadas."
"Customweb_Subscription::Only captured transaction can be refunded.","Sólo las transacciones contabilizadas pueden ser reembolsadas"
"Customweb_Subscription::Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Customweb_Subscription::Operation Mode","Operation Mode"
"Customweb_Subscription::Order","Pedido"
"Customweb_Subscription::Order Email Template","Order Email Template"
"Customweb_Subscription::Order Prefix","Order Prefix"
"Customweb_Subscription::Order Status","Estado del pedido"
"Customweb_Subscription::Order Total","Total del pedido"
"Customweb_Subscription::Orders Based on This Subscription","Orders Based on This Subscription"
"Customweb_Subscription::Paid","Pagado"
"Customweb_Subscription::Pay","Pagar"
"Customweb_Subscription::Payment Attempts","Payment Attempts"
"Customweb_Subscription::Payment ID","ID de pago"
"Customweb_Subscription::Payment Method","Forma de pago"
"Customweb_Subscription::Payment Methods","Payment Methods"
"Customweb_Subscription::Payment Term","período de pago"
"Customweb_Subscription::Payment from applicable countries","Payment from applicable countries"
"Customweb_Subscription::Payment from specific countries","Payment from specific countries"
"Customweb_Subscription::Payments","Pagos"
"Customweb_Subscription::Payments Made","Pagos efectuados"
"Customweb_Subscription::Pending","Pendiente"
"Customweb_Subscription::Pending Email Template","Plantilla de e-mail 'pendiente'"
"Customweb_Subscription::Period Of Notice","Plazo de preaviso"
"Customweb_Subscription::Period of Notice","Plazo de preaviso"
"Customweb_Subscription::Please check the entered CVC number.","Por favor, compruebe el número de CVC introducido."
"Customweb_Subscription::Please check the entered credit card number.","Por favor, compruebe el número de la tarjeta de crédito introducida."
"Customweb_Subscription::Please define at least one payment attempt.","Por favor, configure al menos un intento de pago."
"Customweb_Subscription::Please enter here the Bank Identifier Code (BIC).","Por favor introduzca el Código de identificación bancaria (BIC)."
"Customweb_Subscription::Please enter here the CVC code from your card. You find the code on the back of the card.","Por favor, introduzca la CVC su tarjeta. Usted puede encontrar esto en la parte de atrás de su tarjeta de crédito."
"Customweb_Subscription::Please enter here the International Bank Account Number (IBAN).","Por favor introduzca el Número de Cuenta Bancaria Internacional (IBAN)."
"Customweb_Subscription::Please enter here the account holder name on the card.","Por favor introduzca el nombre titular de la cuenta de la tarjeta."
"Customweb_Subscription::Please enter here the account holder name.","Escriba aquí el nombre del titular."
"Customweb_Subscription::Please enter here the account number of your bank account.","Introduce el número de cuenta de tu cuenta bancaria."
"Customweb_Subscription::Please enter here the bank code of your bank.","Por favor, introduzca su código bancario."
"Customweb_Subscription::Please enter here the card holder name on the card.","Por favor indique el titular de la tarjeta a su tarjeta de crédito."
"Customweb_Subscription::Please enter here the commercial number of your company.","Por favor introduzca el número comercial de su empresa."
"Customweb_Subscription::Please enter here the name of the account owner.","Por favor, introduzca el nombre del titular de la cuenta bancaria"
"Customweb_Subscription::Please enter here the number on your card.","Por favor, introduzca su número de tarjeta"
"Customweb_Subscription::Please enter here the sales tax number of your company.","Por favor, introduzca aquí el número de impuesto sobre las ventas de su empresa."
"Customweb_Subscription::Please enter here your social security number.","Por favor, introduzca aquí su número de seguro social."
"Customweb_Subscription::Please enter the location of your bank.","Por favor, introduzca la ubicación de su banco."
"Customweb_Subscription::Please enter the name of your bank.","Por favor escriba el nombre de su banco."
"Customweb_Subscription::Please enter your IBAN number.","Por favor, introduzca su número de IBAN."
"Customweb_Subscription::Please enter your issue number, if there is no CVC code on your card.","Por favor, introduzca su número de emisión, si no existe un código CVC de su tarjeta."
"Customweb_Subscription::Please select","Por favor seleccione"
"Customweb_Subscription::Please select the Bank Identifier Code (BIC) of your bank.","Por favor, seleccione el código de identificación bancaria (BIC) de su banco."
"Customweb_Subscription::Please select the day of your birth.","Por favor seleccione el día de su nacimiento."
"Customweb_Subscription::Please select the expiry month on your card.","Por favor seleccione el mes de la fecha de vencimiento de su tarjeta de crédito."
"Customweb_Subscription::Please select the expiry year on your card.","Por favor introduzca la fecha de caducidad de la tarjeta."
"Customweb_Subscription::Please select the month of your birth.","Por favor seleccione el mes de su nacimiento."
"Customweb_Subscription::Please select the the year of your birth.","Por favor, seleccione el año de tu nacimiento."
"Customweb_Subscription::Price","Precio"
"Customweb_Subscription::Product","Producto"
"Customweb_Subscription::Product Filter","Product Filter"
"Customweb_Subscription::Product Name","Nombre del producto"
"Customweb_Subscription::Purchased From (Store)","Comprado de (la tienda)"
"Customweb_Subscription::Purchased Item","Artículo comprado"
"Customweb_Subscription::Purchased Items","Artículos comprados"
"Customweb_Subscription::Purchased On","Comprado el"
"Customweb_Subscription::Qty","Cantidad"
"Customweb_Subscription::Recurring Guest Order Email Template","Recurring Guest Order Email Template"
"Customweb_Subscription::Recurring Order Email Template","Recurring Order Email Template"
"Customweb_Subscription::Reference Id","Referencia ID"
"Customweb_Subscription::Refund Amount","Refund Amount"
"Customweb_Subscription::Refund ID","ID Reembolso"
"Customweb_Subscription::Refund amount","La cantidad del reembolso"
"Customweb_Subscription::Refund status","Estado de su reembolso"
"Customweb_Subscription::Refunded Amount","Importe reembolsado"
"Customweb_Subscription::Related Orders","Pedidos relacionados"
"Customweb_Subscription::Release Date","Release Date"
"Customweb_Subscription::Reminder Emails","email recordatorio"
"Customweb_Subscription::Repeats %s time(s) after cancelation request.","Repite %s vez(ces) después de la solicitud de cancelación."
"Customweb_Subscription::Repeats %s time(s).","Repite %s vez(ces)."
"Customweb_Subscription::Repeats until canceled.","Se repite hasta que se cancele."
"Customweb_Subscription::Rounding Adjustment","Rounding Adjustment"
"Customweb_Subscription::Row Total","Total de la línea"
"Customweb_Subscription::Run Test Cron","Run Test Cron"
"Customweb_Subscription::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_Subscription::SKU","SKU"
"Customweb_Subscription::Sales","Venta"
"Customweb_Subscription::Sales Tax Number","Número de Impuesto a las Ventas"
"Customweb_Subscription::Save","Save"
"Customweb_Subscription::Saved cards:","Tarjetas de crédito almacenados:"
"Customweb_Subscription::Schedule","Plan"
"Customweb_Subscription::Schedule Information","Información del plan"
"Customweb_Subscription::Select Brand","Seleccione una marca"
"Customweb_Subscription::Select a subscription plan:","Por favor, seleccione un plan de suscripción:"
"Customweb_Subscription::Select the authorization method to use for processing this payment method.","Selecciona el método de autorización para este método de pago."
"Customweb_Subscription::Select the date of your birth.","Seleccione la fecha de su nacimiento."
"Customweb_Subscription::Select the date on which your card expires.","Selecciona la fecha de vencimiento de la tarjeta"
"Customweb_Subscription::Select the payment methods that are allowed to be used for subscriptions.","Select the payment methods that are allowed to be used for subscriptions."
"Customweb_Subscription::Select the products that cannot be used in subscriptions.","Select the products that cannot be used in subscriptions."
"Customweb_Subscription::Select the unit for the number in the previous field.","Seleccione la unidad para el número en el campo anterior."
"Customweb_Subscription::Select which email template should be sent as reminder. You can edit the templates yourself under System > Transactional Emails.","Seleccione qué plantilla de correo debe ser enviado como recordatorio. Puede editar las plantillas de ti mismo en virtud del System > Transactional Emails"
"Customweb_Subscription::Send Invoice Email","Send Invoice Email"
"Customweb_Subscription::Set the checkbox text of the subscription agreement box in the checkout review.","Set the checkbox text of the subscription agreement box in the checkout review."
"Customweb_Subscription::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_Subscription::Set the text of the subscription agreement box in the checkout review.","Set the text of the subscription agreement box in the checkout review."
"Customweb_Subscription::Set the title of the subscription agreement box in the checkout review.","Set the title of the subscription agreement box in the checkout review."
"Customweb_Subscription::Set to no, if the subscription should keep running even when a payment is pending.","Set to no, if the subscription should keep running even when a payment is pending."
"Customweb_Subscription::Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied.","Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied."
"Customweb_Subscription::Set to yes, if the invoice email should be sent automatically after settlement.","Set to yes, if the invoice email should be sent automatically after settlement."
"Customweb_Subscription::Settlement after Order","Facturación después del pedido"
"Customweb_Subscription::Settlement after order","Settlement after order"
"Customweb_Subscription::Ship to Name","Envíe a nombre"
"Customweb_Subscription::Shipping","Envío"
"Customweb_Subscription::Shipping Address","Dirección de envío"
"Customweb_Subscription::Shipping Amount","Gastos de envío"
"Customweb_Subscription::Shipping Amount Type","Tipo de gastos de envío"
"Customweb_Subscription::Simulate Cron","Simluar cron"
"Customweb_Subscription::Sku","Sku"
"Customweb_Subscription::Social Security Number","Número de Seguro Social"
"Customweb_Subscription::Sort Order","Orden"
"Customweb_Subscription::Start Date","Fecha de inicio"
"Customweb_Subscription::Started At","Comenzó el"
"Customweb_Subscription::Starting Date","Starting Date"
"Customweb_Subscription::Status","Estado"
"Customweb_Subscription::Store","Tienda"
"Customweb_Subscription::Subscribe now!","Suscríbase ahora!"
"Customweb_Subscription::Subscriber","Suscriptor"
"Customweb_Subscription::Subscription","Suscripción"
"Customweb_Subscription::Subscription # %s","Suscripción # %s"
"Customweb_Subscription::Subscription # %s | %s","Suscripción # %s | %s"
"Customweb_Subscription::Subscription Cancelation Email","Subscription Cancelation Email"
"Customweb_Subscription::Subscription Cancelation Request Email","Subscription Cancelation Request Email"
