"Customweb_Subscription::%s %s cycle","%s %s ciclo"
"Customweb_Subscription::After %s more cycle(s)","Dopo %s più ciclo(s)"
"Customweb_Subscription::Agreement Checkbox Text","Accordo casella di testo"
"Customweb_Subscription::Agreement Text","Accordo di testo"
"Customweb_Subscription::Agreement Title","Titolo dell'accordo"
"Customweb_Subscription::Alias","Alias"
"Customweb_Subscription::All subscriptions are up to date.","Tutti gli abbonamenti sono aggiornati."
"Customweb_Subscription::Allow Guest Subscriptions","Consenti sottoscrizioni da parte degli ospiti"
"Customweb_Subscription::American Express","American Express"
"Customweb_Subscription::Apply Subscription","Applicare abbonamento"
"Customweb_Subscription::Are you sure you want to authorize this subscription?","Sei sicuro di voler autorizzare questo abbonamento?"
"Customweb_Subscription::Are you sure you want to cancel this subscription?","Sei sicuro di voler cancellare questo abbonamento?"
"Customweb_Subscription::Are you sure you want to capture this subscription?","Sei sicuro che si desidera contabilizzare questo abbonamento?"
"Customweb_Subscription::Are you sure you want to permanently delete this subscription?","Sei sicuro di voler eliminare definitivamente l'abbonamento?"
"Customweb_Subscription::Are you sure?","Sei sicuro?"
"Customweb_Subscription::Attrib. Set Name","Attrib. Set Name"
"Customweb_Subscription::Author","Author"
"Customweb_Subscription::Authorization Amount","Importo autorizzazione"
"Customweb_Subscription::Authorization Failed","Autorizzazione non riuscita"
"Customweb_Subscription::Authorization Method","Metodo di autorizzazione"
"Customweb_Subscription::Authorize next cycle","Autorizzo ciclo successivo"
"Customweb_Subscription::Authorized","Autorizzato"
"Customweb_Subscription::Authorized Status","Authorized Status"
"Customweb_Subscription::Awaiting confirmation","Awaiting confirmation"
"Customweb_Subscription::BIC","BIC"
"Customweb_Subscription::Back","Di ritorno"
"Customweb_Subscription::Back to Subscriptions","Torna alle sottoscrizioni"
"Customweb_Subscription::Bad signature format.","Bad signature format."
"Customweb_Subscription::Bank Location","Posizione della banca"
"Customweb_Subscription::Bank Name","Nome della banca"
"Customweb_Subscription::Bank account number","Numero di conto bancario"
"Customweb_Subscription::Bank code number","Codice banca"
"Customweb_Subscription::Bill to Name","Inviare la fattura a nome"
"Customweb_Subscription::Billing Address","Indirizzo di fatturazione"
"Customweb_Subscription::Billing Amount","Importo di fatturazione"
"Customweb_Subscription::Billing Frequency","Frequenza di fatturazione"
"Customweb_Subscription::Billing Information","Dati di fatturazione"
"Customweb_Subscription::Billing Period","Periodo di fatturazione"
"Customweb_Subscription::Billing Period Unit","Unità periodo di fatturazione"
"Customweb_Subscription::Billing address","Billing address"
"Customweb_Subscription::Brand Name","Brand Name"
"Customweb_Subscription::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_Subscription::CVC Code","Codice CVC"
"Customweb_Subscription::Calculate Price","Calculate Price"
"Customweb_Subscription::Calculated Price","Prezzo calcolato"
"Customweb_Subscription::Can Customer Suspend","Può il cliente sospendere l'abbonamento?"
"Customweb_Subscription::Cancel","Annullare"
"Customweb_Subscription::Cancel ID","Cancel ID"
"Customweb_Subscription::Cancel Subscription","Annulla abbonamento"
"Customweb_Subscription::Cancel status","Stato cancellazione"
"Customweb_Subscription::Cancelation Email Template","Cancelation Email Template"
"Customweb_Subscription::Cancelation Request Email Template","Modello di email per la richiesta di cancellazione"
"Customweb_Subscription::Cancelation Requested","Cnnullamento richiesto"
"Customweb_Subscription::Cancelation Requested At","Annullamento richiesto in"
"Customweb_Subscription::Canceled","Annullato"
"Customweb_Subscription::Cancelled Status","Cancelled Status"
"Customweb_Subscription::Cannot apply the subscription plan.","Non è possibile applicare il piano di abbonamento."
"Customweb_Subscription::Cannot get the subscription instance.","Impossibile raggiungere l'istanza di sottoscrizione."
"Customweb_Subscription::Capture","Contabilizzare"
"Customweb_Subscription::Capture Amount","Capture Amount"
"Customweb_Subscription::Capture ID","Capture ID"
"Customweb_Subscription::Capture amount","Importo catturato"
"Customweb_Subscription::Capture status","Stato catturato"
"Customweb_Subscription::Captured","Contabilizzato"
"Customweb_Subscription::Captured Amount","Importo riconosciuto"
"Customweb_Subscription::Captured Status","Captured Status"
"Customweb_Subscription::Capturing","Capturing"
"Customweb_Subscription::Card Expiration","Carta di data di scadenza"
"Customweb_Subscription::Card Holder Name","Titolari di carte"
"Customweb_Subscription::Card Number","Numero di carta"
"Customweb_Subscription::Cart Subscriptions","Abbonamenti per carrelli"
"Customweb_Subscription::Change","Cambia"
"Customweb_Subscription::Change Subscription","Modificare abbonamento"
"Customweb_Subscription::Change status","Cambia stato"
"Customweb_Subscription::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_Subscription::Checkout Settings","Impostazioni per cassa"
"Customweb_Subscription::Choose settlement after order in case you want an invoice to be created with your oder.","Scegli regolamento dopo ordinazione nel caso in cui si desidera la fattura deve essere creato con il vostro ordinazione."
"Customweb_Subscription::Choose settlement after order in case you want an invoice to be created with your order.","Choose settlement after order in case you want an invoice to be created with your order."
"Customweb_Subscription::Company Commercial Number","Company Number Commerciale"
"Customweb_Subscription::Could not convert object of type '!type' to string.","Impossibile convertire oggetto di tipo '!type' stringa."
"Customweb_Subscription::Could not find a brand for the given card number.","Impossibile trovare un marchio per un dato numero di carta."
"Customweb_Subscription::Could not find template file at default location '!location'.","Impossibile trovare il file template nella posizione di default '!location'."
"Customweb_Subscription::Could not find the payment method !paymentMethodName.","Impossibile trovare il metodo di pagamento !paymentMethodName."
"Customweb_Subscription::Could not load layout from URL !url. Reason: !reason","Impossibile caricare il layout dal URL !url. motivo: !reason"
"Customweb_Subscription::Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Customweb_Subscription::Credit Card Brands","Credit Card Brands"
"Customweb_Subscription::Currency","Valuta"
"Customweb_Subscription::Customer Name","Nome cliente"
"Customweb_Subscription::Customer name","Customer name"
"Customweb_Subscription::Customer sucessfully returned from the ____ModuleCamel____ payment page.","Customer sucessfully returned from the ____ModuleCamel____ payment page."
"Customweb_Subscription::Date","Data"
"Customweb_Subscription::Date of Birth","Data di nascita"
"Customweb_Subscription::Day","Giorno"
"Customweb_Subscription::Days Before Due Date","Giorni prima della data di scadenza"
"Customweb_Subscription::Deactivate","Deactivate"
"Customweb_Subscription::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_Subscription::Deferred (authorization)","Deferred (authorization)"
"Customweb_Subscription::Define a fee or a discount (negative value) that is added to or subtracted from the initial payment.","Definire una commissione o uno sconto (valore negativo) che viene aggiunto o sottratto dal pagamento iniziale."
"Customweb_Subscription::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_Subscription::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_Subscription::Define if a customer can purchase a subscription as guest.","Definire se un cliente può acquistare un abbonamento come ospite."
"Customweb_Subscription::Define the amount of time relative to the due date after which the invoice has to be paid. This is the period for customers to pay orders that use a payment method that does not support creation of token or in the case of invoice payments. It is also the period for the merchant in case of deferred capturing to capture the payment. Otherwise the payments will fail.","In primo luogo, definire entro il quale un fallito o non è automaticamente rinnovabile pagamento da parte del cliente deve essere pagato. Se durante questo periodo per effettuare pagamenti, abbiamo cancellato la sottoscrizione."
"Customweb_Subscription::Define the order of the plans in the dropdown.","Specificare la sequenza dei piani per la discesa."
"Customweb_Subscription::Define the sort order of the cart plans in the dropdown.","Definire l'ordine dei piani della spesa in discesa."
"Customweb_Subscription::Delete","Cancella"
"Customweb_Subscription::Describe the schedule and subscription. The value of this field is used for configurable product options.","Descrivere il programma e la sottoscrizione. Tale descrizione sarà poi utilizzato per opzioni prodotto configurabili."
"Customweb_Subscription::Describe the subscription and schedule. The value of this field is used for configurable product options.","Descrivere la sottoscrizione e il calendario. Il valore di questo campo viene utilizzato per le opzioni di prodotti configurabili."
"Customweb_Subscription::Describe the subscription cart plan. This value is used on the cart page in the subscription cart plan dropdown and to describe the subscription.","Descrivere il piano di abbonamento cart. Questo valore viene utilizzato nella pagina del carrello nella sottoscrizione cart piano di discesa e per descrivere la sottoscrizione."
"Customweb_Subscription::Describe the subscription plan. This value is used on the cart page in the subscription plan dropdown and to describe the subscription.","Descrivere il piano di abbonamento. Questa descrizione è usata nella pagina del carrello nel piano di abbonamento discesa."
"Customweb_Subscription::Description","Descrizione"
"Customweb_Subscription::Diners Club","Diners Club"
"Customweb_Subscription::Direct Debits","Direct Debits"
"Customweb_Subscription::Direct E-Banking","Direct E-Banking"
"Customweb_Subscription::Directly after order (sale)","Directly after order (sale)"
"Customweb_Subscription::Discount Amount","Importo di sconto"
"Customweb_Subscription::Do you really want to cancel this subscription?","Vuoi davvero cancellare questo abbonamento?"
"Customweb_Subscription::Do you really want to suspend this subscription?","Vuoi davvero di sospendere tale abbonamento?"
"Customweb_Subscription::Don't change order status","Don't change order status"
"Customweb_Subscription::Edit","Modificar"
"Customweb_Subscription::Email Sender","Email Sender"
"Customweb_Subscription::Email Settings","Impostazioni e-mail"
"Customweb_Subscription::Email Template","Sagoma"
"Customweb_Subscription::Enable Agreement","Attiva l'accordo"
"Customweb_Subscription::Enable Cart Subscriptions","Abilita abbonamenti per carrelli"
"Customweb_Subscription::Enable Subscription","Enable Subscription"
"Customweb_Subscription::Enable Test Mode","Attivare la modalità di test"
"Customweb_Subscription::Enable the payment method","Enable the payment method"
"Customweb_Subscription::Enabled","Enabled"
"Customweb_Subscription::Enter a Starting Date (Format: yyyy-mm-dd) to simulate the recurring orders. If the test cron is activated the recurring orders will be simulated starting from the day entered above.","Inserisci la data di partenza (formato: aaaa-mm-gg) per simulare gli ordini ricorrenti. Se è attivato il cron prova gli ordini ricorrenti saranno simulati a partire dal giorno inserito sopra."
"Customweb_Subscription::Enter the date on which your card expires.","Inserire la data in cui scade la vostra carta."
"Customweb_Subscription::Enter the number of days this payment attempt should take place before the actual due date of the subscription.","Inserisci il numero di giorni prima della data di scadenza della sottoscrizione. Il tentativo pagamento avverrà in quel giorno specifico."
"Customweb_Subscription::Enter when this reminder email should be sent before the actual due date of the subscription. This has to be a number.","Invio quando questa e-mail di promemoria deve essere inviato prima della data effettiva dovuta della sottoscrizione. Questo deve essere un numero."
"Customweb_Subscription::Equals initial order","Uguale ordine iniziale"
"Customweb_Subscription::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_Subscription::Excl. Tax","Escl. tassa"
"Customweb_Subscription::Expired","Scaduto"
"Customweb_Subscription::External Checkout","External Checkout"
"Customweb_Subscription::Failed","Fallato"
"Customweb_Subscription::Failed to delete the subscriptions.","Impossibile eliminare le sottoscrizioni."
"Customweb_Subscription::Failed to update the subscription.","Aggiornare l'abbonamento non é risciuto."
"Customweb_Subscription::Failed to update the subscriptions.","Impossibile aggiornare le sottoscrizioni."
"Customweb_Subscription::Failure Email Template","Mc"
"Customweb_Subscription::Figure !number:","Figure !number:"
"Customweb_Subscription::Fixed Shipping","Costi di spedizione fissi"
"Customweb_Subscription::G.T. (Base)","Totale complessivo (base)"
"Customweb_Subscription::G.T. (Purchased)","Totale complessivo (acquistato)"
"Customweb_Subscription::General Settings","General Settings"
"Customweb_Subscription::Guest Order Email Template","Modello di email per ordine ospite"
"Customweb_Subscription::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_Subscription::Hour","ora"
"Customweb_Subscription::IBAN","IBAN"
"Customweb_Subscription::IBAN number","Numero IBAN"
"Customweb_Subscription::ID","ID"
"Customweb_Subscription::If enabled, the customer has to agree to the subscription in the checkout review. In order for this to work, you have to enable Terms and Conditions in the Checkout config tab.","Se abilitato, il cliente deve accettare di sottoscrizione nella revisione checkout. Affinché questo lavoro, devi attivare Termini e Condizioni nella scheda di configurazione Checkout."
"Customweb_Subscription::If it is not applicable leave the field empty.","Se non è applicabile lasciare il campo vuoto."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Se lo stato è 'sospeso' non è chiaro se l'operazione verrà annullata correttamente."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Se lo stato è 'In sospeso' non è chiaro se l'operazione verrà catturato con successo."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Se lo stato è 'In sospeso' non è chiaro se l'operazione sarà rimborsato con successo."
"Customweb_Subscription::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_Subscription::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_Subscription::Image Brand Selection","Image Brand Selection"
"Customweb_Subscription::In Stock","Disponibile"
"Customweb_Subscription::In case you selected a fixed shipping type, enter the shipping costs above.","Nel caso in cui si è selezionato un 'costi di spedizione fisse, si prega di inserire l'importo di cui sopra."
"Customweb_Subscription::Inactive","Inactive"
"Customweb_Subscription::Incl. Tax","Incl. Tasse"
"Customweb_Subscription::Information","Information"
"Customweb_Subscription::Initial Discount","Sconto iniziale"
"Customweb_Subscription::Initial Fee","Tassa iniziale"
"Customweb_Subscription::Initial Fee/Discount","Tassa/sconto iniziale"
"Customweb_Subscription::Initial Subscription Discount","Sconto di sottoscrizione iniziale"
"Customweb_Subscription::Initial Subscription Fee","Commissione di sottoscrizione iniziale"
"Customweb_Subscription::Invalid parent block for this block.","Parent blocknon valido per questo block."
"Customweb_Subscription::Invoice Settlement","Di regolamento della fattura"
"Customweb_Subscription::Invoice settlement","Invoice settlement"
"Customweb_Subscription::Is the customer allowed to suspend the subscription?","È il cliente ha consentito di sospendere la sottoscrizione?"
"Customweb_Subscription::Issue Number","Numero Issue"
"Customweb_Subscription::Item","Articolo"
"Customweb_Subscription::JCB","JCB"
"Customweb_Subscription::Last Billed","Ultimo fatturato"
"Customweb_Subscription::Live HMAC Key","Live HMAC Key"
"Customweb_Subscription::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_Subscription::Live Mode","Live Mode"
"Customweb_Subscription::Live Password","Live Password"
"Customweb_Subscription::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_Subscription::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_Subscription::MasterCard","MasterCard"
"Customweb_Subscription::Maximum Billing Cycles","Massimo di cicli di fatturazione"
"Customweb_Subscription::Maximum Order Total","Maximum Order Total"
"Customweb_Subscription::Minimum Order Total","Minimum Order Total"
"Customweb_Subscription::Minute","minuto"
"Customweb_Subscription::Month","Mese"
"Customweb_Subscription::My Subscriptions","My Subscriptions"
"Customweb_Subscription::Name","Nome"
"Customweb_Subscription::Name in %s","Nome in %s"
"Customweb_Subscription::Never","Mai"
"Customweb_Subscription::New Order Status","New Order Status"
"Customweb_Subscription::Next Cycle","Ciclo avanti"
"Customweb_Subscription::Next Due Date","Prossima scadenza"
"Customweb_Subscription::Next Update Execution Date","Next Update Execution Date"
"Customweb_Subscription::No","No"
"Customweb_Subscription::No Invoice Settlement","No fatturazione"
"Customweb_Subscription::No authorization method found for payment method !method.","Nessun metodo di autorizzazione trovato per il pagamento !method."
"Customweb_Subscription::No information available.","Nessuna informazione disponibile."
"Customweb_Subscription::No reminders are configured.","Non ricordi sono configurati."
"Customweb_Subscription::No, use the dropdown.","No, use the dropdown."
"Customweb_Subscription::None","Niente"
"Customweb_Subscription::Not all products are available in the requested quantity.","Non tutti i prodotti sono disponibili nella quantità richiesta."
"Customweb_Subscription::Not initialized","Non inizializzato"
"Customweb_Subscription::Notify Low Stock RSS","Bassa magazzino RSS notifica"
"Customweb_Subscription::Number of billing periods that make up one billing cycle.","Numero di periodi di fatturazione che compongono un ciclo di fatturazione."
"Customweb_Subscription::One or more errors occured when processing scheduled jobs.","Uno o più errori durante la lavorazione di processi pianificati."
"Customweb_Subscription::Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Customweb_Subscription::Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Customweb_Subscription::Only authorized transaction can be cancelled.","Solo transazioni autorizzate possono essere cancellate."
"Customweb_Subscription::Only authorized transaction can be captured.","Solo transazioni autorizzate possono essere contabilizzate."
"Customweb_Subscription::Only authorized transaction can be refunded.","Solo transazioni autorizzate possono essere rimborsate."
"Customweb_Subscription::Only captured transaction can be refunded.","Solo transazioni contabilizzate possono essere rimborsate."
"Customweb_Subscription::Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Customweb_Subscription::Operation Mode","Operation Mode"
"Customweb_Subscription::Order","Ordine"
"Customweb_Subscription::Order Email Template","Modello di email per gli ordinazione"
"Customweb_Subscription::Order Prefix","Order Prefix"
"Customweb_Subscription::Order Status","Stato dell'ordine"
"Customweb_Subscription::Order Total","Totale ordine"
"Customweb_Subscription::Orders Based on This Subscription","Orders Based on This Subscription"
"Customweb_Subscription::Paid","Pagato"
"Customweb_Subscription::Pay","Pagare"
"Customweb_Subscription::Payment Attempts","Tentativi di pagamento"
"Customweb_Subscription::Payment ID","l'id di cassa"
"Customweb_Subscription::Payment Method","Metodo di pagamento"
"Customweb_Subscription::Payment Methods","Payment Methods"
"Customweb_Subscription::Payment Term","periodo di pagamento"
"Customweb_Subscription::Payment from applicable countries","Payment from applicable countries"
"Customweb_Subscription::Payment from specific countries","Payment from specific countries"
"Customweb_Subscription::Payments","Pagamenti"
"Customweb_Subscription::Payments Made","Pagamenti effettuati"
"Customweb_Subscription::Pending","In sospeso"
"Customweb_Subscription::Pending Email Template","Modello di e-mail 'in attesa'"
"Customweb_Subscription::Period Of Notice","Termine di preavviso"
"Customweb_Subscription::Period of Notice","Termine di preavviso"
"Customweb_Subscription::Please check the entered CVC number.","Si prega di controllare il numero CVC inserito."
"Customweb_Subscription::Please check the entered credit card number.","Si prega di controllare il numero di carta di credito inserito."
"Customweb_Subscription::Please define at least one payment attempt.","Si prega di impostare almeno un tentativo di pagamento."
"Customweb_Subscription::Please enter here the Bank Identifier Code (BIC).","Inserisci qui il codice di identificazione bancario (BIC)."
"Customweb_Subscription::Please enter here the CVC code from your card. You find the code on the back of the card.","Inserisci qui il codice CVC. È possibile trovare questo sul retro della vostra carta di credito."
"Customweb_Subscription::Please enter here the International Bank Account Number (IBAN).","Si prega di inserire qui la International Bank Account Number (IBAN)."
"Customweb_Subscription::Please enter here the account holder name on the card.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"Customweb_Subscription::Please enter here the account holder name.","Si prega di inserire qui il nome del titolare del conto."
"Customweb_Subscription::Please enter here the account number of your bank account.","Si prega di inserire il numero di conto del tuo conto bancario."
"Customweb_Subscription::Please enter here the bank code of your bank.","Si prega di inserire il codice banca ."
"Customweb_Subscription::Please enter here the card holder name on the card.","Si prega di dare al titolare una sulla vostra carta di credito."
"Customweb_Subscription::Please enter here the commercial number of your company.","Inserisci qui il numero commerciale della vostra azienda."
"Customweb_Subscription::Please enter here the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"Customweb_Subscription::Please enter here the number on your card.","Si prega di inserire il numero di carta di carta di credito."
"Customweb_Subscription::Please enter here the sales tax number of your company.","Inserisci qui il numero imposta sulle vendite della tua azienda."
"Customweb_Subscription::Please enter here your social security number.","Inserisci qui il tuo numero di previdenza sociale."
"Customweb_Subscription::Please enter the location of your bank.","Si prega di inserire la posizione della vostra banca."
"Customweb_Subscription::Please enter the name of your bank.","Si prega di inserire il nome della vostra banca."
"Customweb_Subscription::Please enter your IBAN number.","Inserisci il tuo numero IBAN."
"Customweb_Subscription::Please enter your issue number, if there is no CVC code on your card.","Inserisci il tuo numero di rilascio, se non vi è alcun codice CVC sulla carta."
"Customweb_Subscription::Please select","Si prega di selezionare"
"Customweb_Subscription::Please select the Bank Identifier Code (BIC) of your bank.","Seleziona il Bank Identifier Code (BIC) della vostra banca."
"Customweb_Subscription::Please select the day of your birth.","Si prega di selezionare il giorno della tua nascita."
"Customweb_Subscription::Please select the expiry month on your card.","Seleziona il mese della data di scadenza della carta di credito."
"Customweb_Subscription::Please select the expiry year on your card.","Inserisci la data di scadenza della carta."
"Customweb_Subscription::Please select the month of your birth.","Seleziona il mese della vostra nascita."
"Customweb_Subscription::Please select the the year of your birth.","Si prega di selezionare l'anno di nascita."
"Customweb_Subscription::Price","Prezzo"
"Customweb_Subscription::Product","Prodotto"
"Customweb_Subscription::Product Filter","Piani di abbonamento"
"Customweb_Subscription::Product Name","Nome del prodotto"
"Customweb_Subscription::Purchased From (Store)","Acquistato da (negozio)"
"Customweb_Subscription::Purchased Item","Articolo acquistato"
"Customweb_Subscription::Purchased Items","Articoli acquistati"
"Customweb_Subscription::Purchased On","Acquistato il"
"Customweb_Subscription::Qty","Quantità"
"Customweb_Subscription::Recurring Guest Order Email Template","Recurring Guest Order Email Template"
"Customweb_Subscription::Recurring Order Email Template","Recurring Order Email Template"
"Customweb_Subscription::Reference Id","Reference ID"
"Customweb_Subscription::Refund Amount","Refund Amount"
"Customweb_Subscription::Refund ID","ID rimborso"
"Customweb_Subscription::Refund amount","L'importo di rimborso"
"Customweb_Subscription::Refund status","Stato di rimborso"
"Customweb_Subscription::Refunded Amount","Importo accreditato"
"Customweb_Subscription::Related Orders","Oordini correlati"
"Customweb_Subscription::Release Date","Release Date"
"Customweb_Subscription::Reminder Emails","Email promemoria"
"Customweb_Subscription::Repeats %s time(s) after cancelation request.","Ripete %s volta(e), dopo la richiesta di cancellazione."
"Customweb_Subscription::Repeats %s time(s).","Ripete %s volta(e)."
"Customweb_Subscription::Repeats until canceled.","Ripete fino all'annullamento."
"Customweb_Subscription::Rounding Adjustment","Rounding Adjustment"
"Customweb_Subscription::Row Total","Totale della linea"
"Customweb_Subscription::Run Test Cron","Eseguire test Cron"
"Customweb_Subscription::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_Subscription::SKU","SKU"
"Customweb_Subscription::Sales","Vendite"
"Customweb_Subscription::Sales Tax Number","Numero Sales Tax"
"Customweb_Subscription::Save","Save"
"Customweb_Subscription::Saved cards:","Carte di credito memorizzati:"
"Customweb_Subscription::Schedule","Plan"
"Customweb_Subscription::Schedule Information","Informazioni sul piano"
"Customweb_Subscription::Select Brand","Seleziona Marca"
"Customweb_Subscription::Select a subscription plan:","Si prega di selezionare un piano di abbonamento:"
"Customweb_Subscription::Select the authorization method to use for processing this payment method.","Selezionare il metodo di autorizzazione da utilizzare per l'elaborazione di questo metodo di pagamento."
"Customweb_Subscription::Select the date of your birth.","Selezionare la data di nascita."
"Customweb_Subscription::Select the date on which your card expires.","Seleziona la data di scadenza della carta."
"Customweb_Subscription::Select the payment methods that are allowed to be used for subscriptions.","Select the payment methods that are allowed to be used for subscriptions."
"Customweb_Subscription::Select the products that cannot be used in subscriptions.","Selezionare i prodotti che non possono essere utilizzati in abbonamenti."
"Customweb_Subscription::Select the unit for the number in the previous field.","Selezionare l'unità per il numero nel campo precedente."
"Customweb_Subscription::Select which email template should be sent as reminder. You can edit the templates yourself under System > Transactional Emails.","Selezionare il modello di e-mail deve essere inviato come promemoria. È possibile modificare i modelli stessi sotto System > Transactional Emails."
"Customweb_Subscription::Send Invoice Email","Inviare una fattura email"
"Customweb_Subscription::Set the checkbox text of the subscription agreement box in the checkout review.","Fattura per la sottoscrizione"
"Customweb_Subscription::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_Subscription::Set the text of the subscription agreement box in the checkout review.","Impostare il testo della casella di contratto di abbonamento nella revisione checkout."
"Customweb_Subscription::Set the title of the subscription agreement box in the checkout review.","Imposta il titolo della casella contratto di abbonamento nella revisione checkout."
"Customweb_Subscription::Set to no, if the subscription should keep running even when a payment is pending.","Set to no, if the subscription should keep running even when a payment is pending."
"Customweb_Subscription::Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied.","Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied."
"Customweb_Subscription::Set to yes, if the invoice email should be sent automatically after settlement.","Impostare a sì, se l'email fattura deve essere inviata automaticamente dopo regolamento."
"Customweb_Subscription::Settlement after Order","Settlement dopo l'ordine"
"Customweb_Subscription::Settlement after order","Settlement after order"
"Customweb_Subscription::Ship to Name","Invia a nome"
"Customweb_Subscription::Shipping","Spedizione"
"Customweb_Subscription::Shipping Address","Indirizzo di spedizione"
"Customweb_Subscription::Shipping Amount","Costi di spedizione"
"Customweb_Subscription::Shipping Amount Type","Tipo di costi di spedizione"
"Customweb_Subscription::Simulate Cron","Simulare Cron"
"Customweb_Subscription::Sku","Sku"
"Customweb_Subscription::Social Security Number","Social Security Number"
"Customweb_Subscription::Sort Order","Ordine"
"Customweb_Subscription::Start Date","Data di inizio"
"Customweb_Subscription::Started At","Iniziato il"
